Web Search interest: abdominal pain constipation joint pain muscle pain headache,,,,,
Texas (United States) 2014,,,,,
,,,,,
Interest over time,,,,,
Week,abdominal pain,constipation,joint pain,muscle pain,headache
Sherman TX-Ada OK,0,39,0,0,79
San Angelo TX,0,59,0,0,100
Beaumont-Port Arthur TX,0,50,81,0,64
Tyler-Longview(Lufkin & Nacogdoches) TX,0,33,91,82,65
Laredo TX,0,33,0,0,47
El Paso TX,0,27,54,44,57
,,,,,
Top metros for constipation,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Victoria TX,0,100,0,0,95
San Angelo TX,0,59,0,0,100
Beaumont-Port Arthur TX,0,50,81,0,64
Abilene-Sweetwater TX,100,43,0,100,72
Wichita Falls TX & Lawton OK,0,42,100,0,89
Corpus Christi TX,0,40,51,54,65
Odessa-Midland TX,0,40,44,63,63
Sherman TX-Ada OK,0,39,0,0,79
Amarillo TX,0,37,63,92,61
Lubbock TX,0,36,66,62,73
Shreveport LA,0,34,55,77,60
Laredo TX,0,33,0,0,47
Tyler-Longview(Lufkin & Nacogdoches) TX,0,33,91,82,65
Waco-Temple-Bryan TX,73,30,55,63,57
Dallas-Ft. Worth TX,57,29,50,53,53
Austin TX,61,28,50,59,53
San Antonio TX,68,28,48,62,55
El Paso TX,0,27,54,44,57
Houston TX,56,25,47,53,50
Harlingen-Weslaco-Brownsville-McAllen TX,0,15,22,34,33
,,,,,
Top metros for joint pain,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Wichita Falls TX & Lawton OK,0,42,100,0,89
Tyler-Longview(Lufkin & Nacogdoches) TX,0,33,91,82,65
Beaumont-Port Arthur TX,0,50,81,0,64
Lubbock TX,0,36,66,62,73
Amarillo TX,0,37,63,92,61
Waco-Temple-Bryan TX,73,30,55,63,57
Shreveport LA,0,34,55,77,60
El Paso TX,0,27,54,44,57
Corpus Christi TX,0,40,51,54,65
Dallas-Ft. Worth TX,57,29,50,53,53
Austin TX,61,28,50,59,53
San Antonio TX,68,28,48,62,55
Houston TX,56,25,47,53,50
Odessa-Midland TX,0,40,44,63,63
Harlingen-Weslaco-Brownsville-McAllen TX,0,15,22,34,33
Victoria TX,0,100,0,0,95
Sherman TX-Ada OK,0,39,0,0,79
San Angelo TX,0,59,0,0,100
Abilene-Sweetwater TX,100,43,0,100,72
Laredo TX,0,33,0,0,47
,,,,,
Top metros for muscle pain,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Abilene-Sweetwater TX,100,43,0,100,72
Amarillo TX,0,37,63,92,61
Tyler-Longview(Lufkin & Nacogdoches) TX,0,33,91,82,65
Shreveport LA,0,34,55,77,60
Odessa-Midland TX,0,40,44,63,63
Waco-Temple-Bryan TX,73,30,55,63,57
Lubbock TX,0,36,66,62,73
San Antonio TX,68,28,48,62,55
Austin TX,61,28,50,59,53
Corpus Christi TX,0,40,51,54,65
Houston TX,56,25,47,53,50
Dallas-Ft. Worth TX,57,29,50,53,53
El Paso TX,0,27,54,44,57
Harlingen-Weslaco-Brownsville-McAllen TX,0,15,22,34,33
Victoria TX,0,100,0,0,95
Wichita Falls TX & Lawton OK,0,42,100,0,89
Sherman TX-Ada OK,0,39,0,0,79
San Angelo TX,0,59,0,0,100
Beaumont-Port Arthur TX,0,50,81,0,64
Laredo TX,0,33,0,0,47
,,,,,
Top metros for headache,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
San Angelo TX,0,59,0,0,100
Victoria TX,0,100,0,0,95
Wichita Falls TX & Lawton OK,0,42,100,0,89
Sherman TX-Ada OK,0,39,0,0,79
Lubbock TX,0,36,66,62,73
Abilene-Sweetwater TX,100,43,0,100,72
Corpus Christi TX,0,40,51,54,65
Tyler-Longview(Lufkin & Nacogdoches) TX,0,33,91,82,65
Beaumont-Port Arthur TX,0,50,81,0,64
Odessa-Midland TX,0,40,44,63,63
Amarillo TX,0,37,63,92,61
Shreveport LA,0,34,55,77,60
Waco-Temple-Bryan TX,73,30,55,63,57
El Paso TX,0,27,54,44,57
San Antonio TX,68,28,48,62,55
Austin TX,61,28,50,59,53
Dallas-Ft. Worth TX,57,29,50,53,53
Houston TX,56,25,47,53,50
Laredo TX,0,33,0,0,47
Harlingen-Weslaco-Brownsville-McAllen TX,0,15,22,34,33
,,,,,
,,,,,
Top cities for abdominal pain,,,,,
City,abdominal pain,,,,
Richardson,100,,,,
Grapevine,91,,,,
San Antonio,89,,,,
Plano,88,,,,
Austin,83,,,,
Dallas,78,,,,
Houston,72,,,,
Fort Worth,0,,,,
,,,,,
Top cities for constipation,,,,,
City,constipation,,,,
Corpus Christi,100,,,,
Lubbock,95,,,,
Hearne,81,,,,
Frisco,79,,,,
Richardson,77,,,,
Pecan Grove,75,,,,
Grapevine,73,,,,
Plano,73,,,,
Fort Worth,72,,,,
Arlington,71,,,,
San Antonio,69,,,,
College Station,67,,,,
Austin,67,,,,
Irving,66,,,,
El Paso,64,,,,
,,,,,
Top cities for joint pain,,,,,
City,joint pain,,,,
San Antonio,100,,,,
Houston,99,,,,
Dallas,94,,,,
Austin,0,,,,
Richardson,0,,,,
Plano,0,,,,
Grapevine,0,,,,
,,,,,
Top cities for muscle pain,,,,,
City,muscle pain,,,,
Austin,100,,,,
San Antonio,89,,,,
Houston,87,,,,
Dallas,78,,,,
Richardson,0,,,,
Plano,0,,,,
Grapevine,0,,,,
,,,,,
Top cities for headache,,,,,
City,headache,,,,
Tyler,100,,,,
Amarillo,92,,,,
Denton,87,,,,
Lubbock,79,,,,
The Woodlands,78,,,,
McKinney,77,,,,
Waco,77,,,,
Frisco,74,,,,
Corpus Christi,72,,,,
Allen,71,,,,
Killeen,70,,,,
Richardson,69,,,,
Carrollton,68,,,,
Pecan Grove,66,,,,
College Station,63,,,,
,,,,,
,,,,,
,,,,,
Top searches for abdominal pain,,,,,
lower abdominal pain,100,,,,
left abdominal pain,55,,,,
right abdominal pain,40,,,,
upper abdominal pain,35,,,,
stomach pain,30,,,,
severe abdominal pain,15,,,,
lower back pain,15,,,,
sharp abdominal pain,10,,,,
appendicitis,10,,,,
gallbladder pain,5,,,,
gallbladder,5,,,,
kidney pain,5,,,,
appendix,5,,,,
abdominal hernia,5,,,,
appendix pain,5,,,,
pancreatitis,5,,,,
diverticulitis,5,,,,
appendicitis symptoms,5,,,,
ovarian cyst,0,,,,
ectopic pregnancy,0,,,,
abdominal aortic aneurysm,0,,,,
intestinal pain,0,,,,
gallstones,0,,,,
pelvic inflammatory disease,0,,,,
symptoms of appendicitis,0,,,,
gall bladder symptoms,0,,,,
,,,,,
,,,,,
Top searches for constipation,,,,,
constipation remedies,100,,,,
constipation pain,90,,,,
baby constipation,90,,,,
pregnancy constipation,90,,,,
constipation symptoms,75,,,,
constipation relief,65,,,,
remedies for constipation,60,,,,
what is constipation,55,,,,
relieve constipation,50,,,,
constipation home remedies,45,,,,
constipation remedy,35,,,,
constipation during pregnancy,35,,,,
symptoms of constipation,30,,,,
severe constipation,30,,,,
dog constipation,30,,,,
chronic constipation,30,,,,
infant constipation,30,,,,
newborn constipation,25,,,,
toddler constipation,25,,,,
constipation medicine,20,,,,
constipation in infants,20,,,,
what causes constipation,20,,,,
prune juice,20,,,,
foods for constipation,20,,,,
causes of constipation,15,,,,
karo syrup,15,,,,
constipation in pregnancy,15,,,,
ibs,15,,,,
natural constipation remedies,15,,,,
signs of constipation,15,,,,
constipation in babies,15,,,,
constipation in toddlers,15,,,,
constipation while pregnant,15,,,,
constipation in dogs,15,,,,
medicine for constipation,10,,,,
laxatives,10,,,,
constipation after surgery,10,,,,
constipation in children,10,,,,
miralax,10,,,,
probiotics,10,,,,
what helps constipation,10,,,,
suppository,10,,,,
milk of magnesia,5,,,,
magnesium citrate,5,,,,
castor oil,5,,,,
constipation definition,5,,,,
enema for constipation,5,,,,
blood in stool,5,,,,
metamucil,5,,,,
,,,,,
,,,,,
Top searches for joint pain,,,,,
hip joint pain,100,,,,
knee pain,100,,,,
si joint pain,80,,,,
si joint,80,,,,
joint pain causes,75,,,,
shoulder joint pain,65,,,,
joint pain relief,50,,,,
elbow joint pain,40,,,,
sacroiliac joint pain,35,,,,
rheumatoid arthritis,20,,,,
osteoarthritis,15,,,,
sacroiliac joint dysfunction,5,,,,
,,,,,
,,,,,
Top searches for muscle pain,,,,,
back pain,100,,,,
back muscle pain,100,,,,
chest pain,30,,,,
calf muscle pain,25,,,,
lower back pain,25,,,,
muscle spasms,25,,,,
muscle relaxers,10,,,,
,,,,,
,,,,,
Top searches for headache,,,,,
sinus headache,100,,,,
headaches,85,,,,
nausea,80,,,,
headache nausea,80,,,,
migraine,60,,,,
migraine headache,60,,,,
pressure headache,60,,,,
tension headache,45,,,,
headache causes,40,,,,
bad headache,40,,,,
severe headache,40,,,,
nausea and headache,35,,,,
headache medicine,35,,,,
headache rack,35,,,,
headache relief,35,,,,
headache remedies,30,,,,
fever and headache,30,,,,
neck pain,25,,,,
blood pressure headache,25,,,,
cluster headache,20,,,,
headache behind eye,15,,,,
headache remedy,15,,,,
temple headache,15,,,,
headache during pregnancy,15,,,,
high blood pressure,15,,,,
headache and dizziness,15,,,,
caffeine headache,15,,,,
headache while pregnant,15,,,,
constant headache,15,,,,
sinus infection,15,,,,
stress headache,10,,,,
sinus pressure headache,10,,,,
throbbing headache,10,,,,
allergy headache,10,,,,
sinus pressure,10,,,,
hangover headache,10,,,,
sinus headache symptoms,10,,,,
dehydration headache,10,,,,
spinal headache,10,,,,
meningitis,10,,,,
headache after eating,10,,,,
headache racks,10,,,,
migraine symptoms,10,,,,
headache behind eyes,10,,,,
migraine headache symptoms,10,,,,
flu symptoms,10,,,,
migraine headaches,10,,,,
aneurysm,10,,,,
headache pressure points,10,,,,
cluster headaches,10,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rising searches for constipation,,,,,
chronic idiopathic constipation,300%,,,,
linzess,50%,,,,
castor oil,40%,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rising searches for headache,,,,,
headache location,60%,,,,
tension headache,50%,,,,
types of headaches,50%,,,,
cluster headache,40%,,,,
