Web Search interest: abdominal pain constipation joint pain muscle pain headache,,,,,
Texas (United States) 2014,,,,,
,,,,,
Interest over time,,,,,
Week,abdominal pain,constipation,joint pain,muscle pain,headache
2014-01-05 - 2014-01-11,26,54,14,15,94
2014-01-12 - 2014-01-18,25,53,14,15,88
2014-01-19 - 2014-01-25,25,52,12,15,86
2014-01-26 - 2014-02-01,25,58,11,15,77
2014-02-02 - 2014-02-08,24,55,15,17,72
2014-02-09 - 2014-02-15,27,54,11,14,77
2014-02-16 - 2014-02-22,25,54,15,16,84
2014-02-23 - 2014-03-01,26,56,15,17,84
2014-03-02 - 2014-03-08,24,52,15,14,79
2014-03-09 - 2014-03-15,25,54,15,16,88
2014-03-16 - 2014-03-22,25,50,17,15,82
2014-03-23 - 2014-03-29,25,56,16,16,77
2014-03-30 - 2014-04-05,27,52,15,18,82
2014-04-06 - 2014-04-12,27,51,17,15,77
2014-04-13 - 2014-04-19,24,55,13,15,79
2014-04-20 - 2014-04-26,30,52,16,18,82
2014-04-27 - 2014-05-03,25,52,16,16,84
2014-05-04 - 2014-05-10,25,54,15,15,77
2014-05-11 - 2014-05-17,26,53,15,17,81
2014-05-18 - 2014-05-24,29,53,14,20,85
2014-05-25 - 2014-05-31,27,53,14,15,84
2014-06-01 - 2014-06-07,26,52,19,17,84
2014-06-08 - 2014-06-14,25,56,19,14,83
2014-06-15 - 2014-06-21,27,54,17,16,88
2014-06-22 - 2014-06-28,28,55,15,18,84
2014-06-29 - 2014-07-05,28,56,18,17,86
2014-07-06 - 2014-07-12,26,59,19,16,91
2014-07-13 - 2014-07-19,26,59,19,18,88
2014-07-20 - 2014-07-26,28,60,16,15,90
2014-07-27 - 2014-08-02,28,62,17,17,92
2014-08-03 - 2014-08-09,27,55,16,15,87
2014-08-10 - 2014-08-16,28,59,15,18,86
2014-08-17 - 2014-08-23,27,54,17,19,87
2014-08-24 - 2014-08-30,25,51,17,16,87
2014-08-31 - 2014-09-06,25,56,16,17,81
2014-09-07 - 2014-09-13,26,53,16,15,86
2014-09-14 - 2014-09-20,28,59,14,15,81
2014-09-21 - 2014-09-27,26,59,15,15,91
2014-09-28 - 2014-10-04,25,50,16,17,84
2014-10-05 - 2014-10-11,28,52,15,16,93
2014-10-12 - 2014-10-18,28,49,15,15,86
2014-10-19 - 2014-10-25,30,55,17,17,84
2014-10-26 - 2014-11-01,25,57,15,13,86
2014-11-02 - 2014-11-08,26,53,14,14,83
2014-11-09 - 2014-11-15,24,54,18,16,87
2014-11-16 - 2014-11-22,27,54,14,14,81
2014-11-23 - 2014-11-29,26,59,16,14,85
2014-11-30 - 2014-12-06,25,50,15,14,90
2014-12-07 - 2014-12-13,24,50,14,14,89
2014-12-14 - 2014-12-20,23,48,14,13,89
2014-12-21 - 2014-12-27,22,53,13,15,89
2014-12-28 - 2015-01-03,28,57,16,15,100
,,,,,
,,,,,
Top metros for abdominal pain,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Abilene-Sweetwater TX,100,43,0,100,72
Waco-Temple-Bryan TX,73,30,55,63,57
San Antonio TX,68,28,48,62,55
Austin TX,61,28,50,59,53
Dallas-Ft. Worth TX,57,29,50,53,53
Houston TX,56,25,47,53,50
Corpus Christi TX,0,40,51,54,65
Shreveport LA,0,34,55,77,60
Victoria TX,0,100,0,0,95
Wichita Falls TX & Lawton OK,0,42,100,0,89
Odessa-Midland TX,0,40,44,63,63
Amarillo TX,0,37,63,92,61
Harlingen-Weslaco-Brownsville-McAllen TX,0,15,22,34,33
Lubbock TX,0,36,66,62,73
