Web Search interest: abdominal pain constipation joint pain muscle pain headache,,,,,
Texas (United States) 2016,,,,,
,,,,,
Interest over time,,,,,
Week,abdominal pain,constipation,joint pain,muscle pain,headache
Austin TX,39,28,27,21,28
Victoria TX,0,92,0,0,89
Wichita Falls TX & Lawton OK,0,71,95,0,76
Sherman TX-Ada OK,0,84,0,0,100
San Angelo TX,0,100,0,0,60
Beaumont-Port Arthur TX,0,66,100,0,46
Laredo TX,0,35,0,0,39
,,,,,
Top metros for headache,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Sherman TX-Ada OK,0,84,0,0,100
Abilene-Sweetwater TX,100,79,0,100,91
Victoria TX,0,92,0,0,89
Amarillo TX,0,69,70,40,77
Wichita Falls TX & Lawton OK,0,71,95,0,76
Corpus Christi TX,0,61,84,60,63
Odessa-Midland TX,0,58,87,51,63
Shreveport LA,0,66,50,62,60
San Angelo TX,0,100,0,0,60
Lubbock TX,0,49,36,62,57
Tyler-Longview(Lufkin & Nacogdoches) TX,0,61,74,39,56
Waco-Temple-Bryan TX,60,46,24,39,53
Beaumont-Port Arthur TX,0,66,100,0,46
El Paso TX,0,51,40,28,42
Dallas-Ft. Worth TX,51,39,39,35,40
Laredo TX,0,35,0,0,39
Houston TX,56,36,32,29,35
San Antonio TX,50,32,39,24,34
Harlingen-Weslaco-Brownsville-McAllen TX,0,25,18,22,34
Austin TX,39,28,27,21,28
,,,,,
,,,,,
Top cities for abdominal pain,,,,,
City,abdominal pain,,,,
Dallas,100,,,,
Houston,84,,,,
San Antonio,83,,,,
Austin,83,,,,
,,,,,
Top cities for constipation,,,,,
City,constipation,,,,
Plano,100,,,,
Fort Worth,99,,,,
Dallas,92,,,,
Austin,78,,,,
Houston,74,,,,
San Antonio,69,,,,
,,,,,
Top cities for joint pain,,,,,
City,joint pain,,,,
Dallas,100,,,,
San Antonio,84,,,,
Houston,74,,,,
,,,,,
Top cities for muscle pain,,,,,
City,muscle pain,,,,
Dallas,100,,,,
Houston,85,,,,
,,,,,
Top cities for headache,,,,,
City,headache,,,,
El Paso,100,,,,
Dallas,88,,,,
Plano,87,,,,
Fort Worth,86,,,,
Austin,76,,,,
Houston,71,,,,
San Antonio,69,,,,
,,,,,
,,,,,
,,,,,
Top searches for abdominal pain,,,,,
lower abdominal pain,100,,,,
left abdominal pain,60,,,,
right abdominal pain,45,,,,
upper abdominal pain,35,,,,
stomach pain,30,,,,
severe abdominal pain,15,,,,
sharp abdominal pain,15,,,,
appendicitis,10,,,,
gallbladder pain,10,,,,
pancreatitis,5,,,,
,,,,,
,,,,,
Top searches for constipation,,,,,
constipation pain,100,,,,
baby constipation,90,,,,
constipation remedies,85,,,,
constipation symptoms,80,,,,
what is constipation,70,,,,
pregnancy constipation,70,,,,
constipation relief,60,,,,
remedies for constipation,60,,,,
constipation causes,45,,,,
relieve constipation,45,,,,
constipation remedy,35,,,,
dog constipation,35,,,,
severe constipation,35,,,,
constipation medicine,35,,,,
chronic constipation,30,,,,
symptoms of constipation,30,,,,
infant constipation,25,,,,
constipation during pregnancy,25,,,,
constipation treatment,25,,,,
newborn constipation,25,,,,
constipation in babies,25,,,,
what causes constipation,20,,,,
foods for constipation,20,,,,
prune juice,20,,,,
toddler constipation,20,,,,
natural constipation remedies,20,,,,
medicine for constipation,20,,,,
causes of constipation,20,,,,
opioid constipation,20,,,,
constipation while pregnant,15,,,,
constipation in pregnancy,15,,,,
signs of constipation,15,,,,
constipation in toddlers,15,,,,
constipation in dogs,15,,,,
laxatives,10,,,,
constipation in infants,10,,,,
opioid induced constipation,10,,,,
magnesium citrate,10,,,,
constipation after surgery,10,,,,
,,,,,
,,,,,
Top searches for joint pain,,,,,
hip joint pain,100,,,,
si joint pain,60,,,,
shoulder joint pain,50,,,,
,,,,,
,,,,,
Top searches for muscle pain,,,,,
back muscle pain,100,,,,
calf muscle pain,30,,,,
muscle relaxers,10,,,,
,,,,,
,,,,,
Top searches for headache,,,,,
sinus headache,100,,,,
headaches,85,,,,
pressure headache,70,,,,
migraine headache,65,,,,
migraine,65,,,,
tension headache,60,,,,
headache causes,50,,,,
headache rack,45,,,,
headache medicine,40,,,,
bad headache,40,,,,
severe headache,35,,,,
nausea and headache,35,,,,
headache relief,35,,,,
blood pressure headache,25,,,,
cluster headache,25,,,,
headache remedies,25,,,,
headache behind eye,20,,,,
temple headache,20,,,,
constant headache,20,,,,
stress headache,15,,,,
caffeine headache,15,,,,
headache remedy,15,,,,
allergy headache,15,,,,
headache behind eyes,15,,,,
throbbing headache,15,,,,
headache location,10,,,,
headache types,10,,,,
headache during pregnancy,10,,,,
dehydration headache,10,,,,
spinal headache,10,,,,
cluster headaches,10,,,,
meningitis,10,,,,
mild headache,10,,,,
sinus headache relief,10,,,,
headache after eating,10,,,,
flu symptoms,10,,,,
headache chart,5,,,,
brain tumor symptoms,5,,,,
migraine symptoms,5,,,,
ice pick headache,5,,,,
frontal headache,5,,,,
types of headaches,5,,,,
headache in forehead,5,,,,
cervicogenic headache,5,,,,
tension headache symptoms,5,,,,
natural headache remedies,5,,,,
thunderclap headache,5,,,,
headache location meaning,0,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rising searches for constipation,,,,,
opioid induced constipation,70%,,,,
opioid constipation,60%,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rising searches for headache,,,,,
headache location meaning,70%,,,,
headache chart,50%,,,,
headache location,40%,,,,
headache types,40%,,,,
